id,news_id,tag_id,created_at
1,1,1,2024-01-01
2,1,2,2024-01-01
3,1,3,2024-01-01
4,2,4,2024-01-01
5,2,5,2024-01-01
6,2,6,2024-01-01
7,2,7,2024-01-01
8,3,8,2024-01-01
9,3,9,2024-01-01
10,3,10,2024-01-01
11,4,11,2024-01-01
12,4,12,2024-01-01
13,4,13,2024-01-01
14,5,14,2024-01-01
15,5,15,2024-01-01
16,5,16,2024-01-01
17,6,17,2024-01-01
18,6,18,2024-01-01
19,6,10,2024-01-01
20,7,16,2024-01-01
21,7,19,2024-01-01
22,7,20,2024-01-01
23,8,21,2024-01-01
24,8,22,2024-01-01
25,8,23,2024-01-01
26,9,24,2024-01-01
27,9,25,2024-01-01
28,9,26,2024-01-01
29,10,27,2024-01-01
30,10,12,2024-01-01
31,10,28,2024-01-01
