id,slug,title_ar,title_en,meta_title_ar,meta_title_en,meta_description_ar,meta_description_en,status,language,parent_id,sort_order,template,created_at,updated_at
1,home,الرئيسية,Home,المعهد الوطني للتطوير المهني التعليمي - الرئيسية,National Institute for Educational Professional Development - Home,المعهد الوطني للتطوير المهني التعليمي - رائد وشريك استراتيجي في بناء القدرات التعليمية,National Institute for Educational Professional Development - Leading strategic partner in building educational capacities,published,both,,1,home,2024-01-01,2024-01-01
2,about,عن المعهد,About Us,عن المعهد الوطني للتطوير المهني التعليمي,About National Institute for Educational Professional Development,تعرف على تاريخ ورؤية ورسالة المعهد الوطني للتطوير المهني التعليمي وأهدافه الاستراتيجية,Learn about the history vision mission and strategic objectives of the National Institute for Educational Professional Development,published,both,,2,page,2024-01-01,2024-01-01
3,programs,البرامج والخدمات,Programs & Services,البرامج والخدمات - المعهد الوطني للتطوير المهني التعليمي,Programs & Services - National Institute for Educational Professional Development,اكتشف برامج التطوير المهني المتنوعة للمعلمين والقيادات التعليمية,Discover diverse professional development programs for teachers and educational leaders,published,both,,3,page,2024-01-01,2024-01-01
4,news,الأخبار والفعاليات,News & Events,الأخبار والفعاليات - المعهد الوطني للتطوير المهني التعليمي,News & Events - National Institute for Educational Professional Development,آخر أخبار وفعاليات المعهد الوطني للتطوير المهني التعليمي,Latest news and events from the National Institute for Educational Professional Development,published,both,,4,page,2024-01-01,2024-01-01
5,partners,الشركاء والتعاونات,Partners & Collaborations,الشركاء والتعاونات - المعهد الوطني للتطوير المهني التعليمي,Partners & Collaborations - National Institute for Educational Professional Development,تعرف على شركاء المعهد والتعاونات الاستراتيجية المحلية والدولية,Learn about the institute's partners and strategic local and international collaborations,published,both,,5,page,2024-01-01,2024-01-01
6,contact,اتصل بنا,Contact Us,اتصل بنا - المعهد الوطني للتطوير المهني التعليمي,Contact Us - National Institute for Educational Professional Development,تواصل مع المعهد الوطني للتطوير المهني التعليمي,Contact the National Institute for Educational Professional Development,published,both,,6,page,2024-01-01,2024-01-01
7,vision-mission,الرؤية والرسالة,Vision & Mission,الرؤية والرسالة - المعهد الوطني للتطوير المهني التعليمي,Vision & Mission - National Institute for Educational Professional Development,رؤية ورسالة وأهداف المعهد الوطني للتطوير المهني التعليمي,Vision mission and objectives of the National Institute for Educational Professional Development,published,both,2,1,page,2024-01-01,2024-01-01
8,organizational-structure,الهيكل التنظيمي,Organizational Structure,الهيكل التنظيمي - المعهد الوطني للتطوير المهني التعليمي,Organizational Structure - National Institute for Educational Professional Development,الهيكل التنظيمي ومجلس الإدارة للمعهد الوطني للتطوير المهني التعليمي,Organizational structure and board of directors of the National Institute for Educational Professional Development,published,both,2,2,page,2024-01-01,2024-01-01
9,history,التاريخ والتأسيس,History & Establishment,تاريخ وتأسيس المعهد الوطني للتطوير المهني التعليمي,History & Establishment of National Institute for Educational Professional Development,تاريخ تأسيس المعهد الوطني للتطوير المهني التعليمي في 2019,History of the establishment of the National Institute for Educational Professional Development in 2019,published,both,2,3,page,2024-01-01,2024-01-01
10,teacher-programs,برامج المعلمين,Teacher Programs,برامج المعلمين - المعهد الوطني للتطوير المهني التعليمي,Teacher Programs - National Institute for Educational Professional Development,برامج التطوير المهني المخصصة للمعلمين,Professional development programs designed for teachers,published,both,3,1,page,2024-01-01,2024-01-01
11,leadership-programs,برامج القيادات,Leadership Programs,برامج القيادات التعليمية - المعهد الوطني للتطوير المهني التعليمي,Educational Leadership Programs - National Institute for Educational Professional Development,برامج التطوير المهني المخصصة للقيادات التعليمية,Professional development programs designed for educational leaders,published,both,3,2,page,2024-01-01,2024-01-01
12,specialized-programs,البرامج التخصصية,Specialized Programs,البرامج التخصصية - المعهد الوطني للتطوير المهني التعليمي,Specialized Programs - National Institute for Educational Professional Development,البرامج التخصصية في مجالات محددة مثل التربية الخاصة والعلوم,Specialized programs in specific areas such as special education and sciences,published,both,3,3,page,2024-01-01,2024-01-01
